topic,topic_label,top_words,total_engagement,video_count
20.0,枚ランタム封入 種より,"['枚ランタム封入', '種より', 'japan', 'cd', 'book', 'photo', '枚封入', 'official', 'video', 'music']",333009128,8
68.0,official music,"['official', 'music', 'song', 'sidhu', 'punjabi', 'apple', 'wala', 'moose', 'inc', 'girl']",211752939,19
49.0,official ateez,"['official', 'ateez', 'kqent', 'ojo', 'osaka', 'kq', 'facebook', 'bit', 'ly', '에이티즈']",194464050,12
64.0,youtube twitter,"['youtube', 'twitter', 'jp', 'channel', 'co', 'tiktok', 'subscribe', 'youtu', 'amazon', 'watch']",129678402,83
61.0,music director,"['music', 'director', 'producer', 'song', 'production', 'facebook', 'studio', 'u', 'lyric', 'sound']",128813574,22
84.0,assistant director,"['assistant', 'director', 'production', 'producer', 'kim', 'manager', 'vfx', 'key', 'ac', 'coordinator']",109077895,6
38.0,music coryxkenshin,"['music', 'coryxkenshin', 'twitter', 'game', 'tiktok', 'youtube', 'fnaf', 'mimic', 'secret', 'anything']",97973908,22
91.0,world spacex,"['world', 'spacex', 'nsf', 'starbase', 'facebook', 'bananza', 'video', 'film', 'join', 'donkey']",84998793,21
43.0,famous youtube,"['famous', 'youtube', 'even', 'want', 'try', 'watch', 'allday_project', 'land', 'play', 'allday']",73380994,19
3.0,new twitter,"['new', 'twitter', 'hot', 'subscribe', 'follow', 'mrbeast', 'network', 'facebook', 'money', 'one']",72491630,28
58.0,bit ly,"['bit', 'ly', 'video', 'tv', 'watch', 'twitter', 'sun', 'facebook', 'subscribe', 'zee']",68751630,34
13.0,de youtube,"['de', 'youtube', 'canal', 'ly', 'da', 'na', 'bit', 'em', 'para', 'br']",68555100,94
48.0,oct top,"['oct', 'top', 'lnk', 'assistant', 'production', 'producer', 'vfx', 'sep', 'post', 'breach']",57603640,6
72.0,글로벌 메가,"['글로벌', '메가', 'kst', '평가', '대중', 'video', '크루', 'choom', 'mega', '미션']",50303464,12
67.0,youtube channel,"['youtube', 'channel', 'video', 'twitter', 'twitch', 'amzn', 'tiktok', 'use', 'music', 'tv']",50103454,21
12.0,dangerous em,"['dangerous', 'em', 'like', 'type', 'lnk', 'yes', 'oh', 'mariahcarey', 'mariah', 'carey']",48837758,11
8.0,de en,"['de', 'en', 'dazn', 'tinyurl', 'con', 'dazn_es', 'el', 'del', 'facebook', 'daznes']",45630310,17
28.0,deadbydaylight facebook,"['deadbydaylight', 'facebook', 'tiktok', 'daylight', 'dead', 'official', 'springtrap', 'nakedgunmovie', 'twitter', 'paramount']",44871961,15
34.0,tour live,"['tour', 'live', 'edition', 'ray', 'blu', 'minecraft', 'bedrock', 'vibrant', 'miss', 'visuals']",42495325,13
30.0,youtube video,"['youtube', 'video', 'map', 'channel', 'dazn', 'world', 'johnny', 'harris', 'shirt', 'get']",41728177,18
27.0,si hai,"['si', 'hai', 'tu', 'know', 'na', 'hi', 'mein', 'se', 'main', 'music']",40274035,12
16.0,twitch twitter,"['twitch', 'twitter', 'tv', 'tiktok', 'video', 'official', 'prime', 'subscribe', 'lnk', 'minecraft']",40033594,22
35.0,rock please,"['rock', 'please', 'found', 'thanks', 'video', 'tom', 'animal', 'sort', 'shane', 'caleb']",39047159,10
45.0,october november,"['october', 'november', 'september', 'december', 'deliver', 'ali', 'new', 'ny', 'aug', 'fl']",37678812,11
53.0,youtu day,"['youtu', 'day', 'pond', 'de', 'build', 'production', 'bass', 'water', 'part', 'et']",37335302,21
81.0,world cup,"['world', 'cup', 'club', 'dazn', 'fifa', 'league', 'sport', 'watch', 'football', 'champion']",36243394,19
94.0,katseye youtube,"['katseye', 'youtube', 'playlist', 'list', 'la', 'lnk', 'gabriela', 'katseyeworld', 'director', 'official']",32712979,13
10.0,new season,"['new', 'season', 'today', 'overwatch', 'facebook', 'twitter', 'map', 'skin', 'powered', 'game']",32539129,27
