term,dma_hits,avg_rank,total_score,coverage_ratio
damascus,210,7.0,100,1.0
deodorant recalled,210,1.0,100,1.0
elsie hewitt,210,2.0,100,1.0
extreme heat warning,210,7.0,100,1.0
felix baumgartner,210,7.0,100,1.0
green card holder detained ice,210,23.0,100,1.0
harris english,210,22.0,100,1.0
josh lucas,210,22.0,100,1.0
luigi mangione,210,15.0,100,1.0
man united vs leeds united,210,2.0,100,1.0
marcus rashford,210,5.0,100,1.0
mike williams,210,9.0,100,1.0
mortal kombat 2,210,18.0,100,1.0
mortal kombat movie trailer,210,14.0,100,1.0
open stock,210,2.0,100,1.0
phil dunster,210,16.0,100,1.0
phillies coldplay kiss cam,210,10.0,100,1.0
predator badlands,210,7.0,100,1.0
reading vs tottenham,210,9.0,100,1.0
robin williams,210,11.0,100,1.0
scottie scheffler wife,210,19.0,100,1.0
shane lowry,210,11.0,100,1.0
shannon sharpe,210,14.0,100,1.0
shemar stewart,210,3.0,100,1.0
spain vs switzerland,210,6.0,100,1.0
stephen king,210,23.0,100,1.0
tj maxx yellow tag sale,210,14.0,100,1.0
tommy fleetwood,210,24.0,100,1.0
tsunami warning,210,9.0,100,1.0
adolescence,210,15.0,100,1.0
alaska airlines flights grounded,210,6.0,100,1.0
alexander skarsgård,210,15.0,100,1.0
anthony mackie,210,18.0,100,1.0
bayer leverkusen,210,10.0,100,1.0
british open leaderboard,210,13.0,100,1.0
british open payout,210,12.0,100,1.0
bryan braman,210,4.0,100,1.0
brysen wright,210,24.0,100,1.0
chronic venous insufficiency,210,2.0,100,1.0
cold play cheaters,210,4.0,100,1.0
corey adams,210,3.0,100,1.0
iceland volcano eruption,210,16.0,100,1.0
john lewis,210,19.0,100,1.0
lasd,210,9.0,100,1.0
li haotong,210,20.0,100,1.0
mark green,210,24.0,100,1.0
melina galanis frattolin,210,4.0,100,1.0
mirassol vs santos,210,19.0,100,1.0
national hot dog day,210,5.0,100,1.0
netflix teaser trailer stranger things,210,19.0,100,1.0
pacquiao vs barrios time,210,13.0,100,1.0
portland fire,210,25.0,100,1.0
rashee rice,210,8.0,100,1.0
remco evenepoel,210,14.0,100,1.0
remy's brother in ratatouille nyt,210,16.0,100,1.0
sauce gardner,210,12.0,100,1.0
scheffler,210,8.0,100,1.0
tomorrowland,210,3.0,100,1.0
tron ares,210,20.0,100,1.0
untamed netflix,210,18.0,100,1.0
cam thomas,210,21.0,100,1.0
coastal flood advisory,210,17.0,100,1.0
hurricane dexter,210,21.0,100,1.0
jodi huisentruit,210,22.0,100,1.0
katherine lanasa,210,10.0,100,1.0
keeps in the loop in a way nyt,210,22.0,100,1.0
krispy kreme,210,5.0,100,1.0
netflix stock,210,12.0,100,1.0
nintendo palworld lawsuit update,210,8.0,100,1.0
powerball winning lottery numbers,210,21.0,100,1.0
rich hill,210,23.0,100,1.0
student loan forgiveness ibr,210,20.0,100,1.0
travis kelce,210,16.0,100,1.0
tulsi gabbard,210,19.0,100,1.0
ufc fight tonight,210,15.0,100,1.0
when is national ice cream day,210,10.0,100,1.0
cash out,210,13.0,100,1.0
charli xcx,210,6.0,100,1.0
chatgpt agent,210,23.0,100,1.0
chris paul,210,4.0,100,1.0
drew moss 49ers,210,20.0,100,1.0
iran nuclear assessment,210,15.0,100,1.0
nick frost,210,6.0,100,1.0
pbs,210,21.0,100,1.0
pizza hut $2 tuesdays,210,9.0,100,1.0
pumas - pachuca,210,2.0,100,1.0
rg3 angel reese tweet,210,11.0,100,1.0
ryder cup 2025,210,18.0,100,1.0
sarepta,210,22.0,100,1.0
scottie scheffler major wins,210,11.0,100,1.0
severe thunderstorm warning,210,4.0,100,1.0
the open leaderboard,210,5.0,100,1.0
tranquil plants grow a garden,210,7.0,100,1.0
us open 2025,210,23.0,100,1.0
what is the genius act,210,17.0,100,1.0
bo bragason,210,1.0,100,1.0
chicago weather,210,24.0,100,1.0
dolly parton,210,20.0,100,1.0
ethereum,210,25.0,100,1.0
ian alert,210,13.0,100,1.0
jackson mcvey,210,21.0,100,1.0
lisa bonet,210,22.0,100,1.0
mri accident,210,12.0,100,1.0
powell,210,15.0,100,1.0
the pitt,210,14.0,100,1.0
tj watt,210,6.0,100,1.0
tna slammiversary 2025,210,22.0,100,1.0
wyndham clark,210,17.0,100,1.0
brian harman,210,8.0,100,1.0
emma watson,210,6.0,100,1.0
i know what you did last summer,210,16.0,100,1.0
lucid stock,210,11.0,100,1.0
malcolm jamal warner,210,1.0,100,1.0
norway vs italy,210,23.0,100,1.0
palmeiras - atlético mineiro,210,20.0,100,1.0
palmeiras vs atlético mineiro,210,14.0,100,1.0
pfl,210,25.0,100,1.0
pumas unam vs pachuca,210,5.0,100,1.0
red sox vs cubs,210,1.0,100,1.0
scottie scheffler net worth,210,17.0,100,1.0
what time does the summer i turned pretty come out,210,7.0,100,1.0
what time is the all star game,210,5.0,100,1.0
will levis,210,10.0,100,1.0
dover motor speedway,210,23.0,100,1.0
heritage foundation,210,18.0,100,1.0
robin kaye,210,2.0,100,1.0
scottie scheffler,210,12.0,100,1.0
sweden vs england,210,10.0,100,1.0
dream vs sky,210,8.0,100,1.0
venus williams,210,21.0,100,1.0
will cain,210,24.0,100,1.0
adam schiff,210,18.0,100,1.0
bradley beal,210,10.0,100,1.0
etan patz,210,8.0,100,1.0
fda recalls deodorant,210,12.0,100,1.0
france vs germany,210,4.0,100,1.0
noah fant,210,11.0,100,1.0
shiny quaxly,210,16.0,100,1.0
the open,210,21.0,100,1.0
unruly passengers cockpit disruption spicejet,210,12.0,100,1.0
cole escola,210,17.0,100,1.0
paul mccartney 2025 tour,210,19.0,100,1.0
desmond ridder,210,25.0,100,1.0
emmy nominations 2025,210,1.0,100,1.0
paul wesley,210,17.0,100,1.0
shark week 2025,210,7.0,100,1.0
jfk airport,210,25.0,100,1.0
ryder cup standings,210,15.0,100,1.0
inflation,210,8.0,100,1.0
open leaderboard,210,17.0,100,1.0
connie francis,210,3.0,100,1.0
dylan dreyer,210,2.0,100,1.0
pumpkin spice latte starbucks,210,9.0,100,1.0
usyk vs dubois 2 time,210,3.0,100,1.0
obamacare health insurance,210,18.0,100,1.0
madeline soto,210,25.0,100,1.0
gachiakuta anime episode 3,210,24.0,100,1.0
the basketball tournament,210,13.0,100,1.0
mercury vs lynx,210,13.0,100,1.0
phylicia rashad,210,19.0,100,1.0
severe thunderstorm watch,210,6.0,100,1.0
joe biden,210,5.0,100,1.0
delta flight emergency landing,210,13.0,100,1.0
bahrain,210,14.0,100,1.0
andor,210,24.0,100,1.0
amy bradley,210,11.0,100,1.0
tsunami watch,210,1.0,100,1.0
tom bateman,210,16.0,100,1.0
steve miller band,210,25.0,100,1.0
masters,210,3.0,100,1.0
fda deodorant recall,210,9.0,100,1.0
dan rivera,210,4.0,100,1.0
buff bagwell,210,3.0,100,1.0
andy byron,210,1.0,100,1.0
